time,solid_fraction,free_energy,tip_x
1085,10027.0508366,2037988.4681,194.587773431
1090,10085.4916936,2037492.3704,195.311757879
1095,10144.0204837,2036995.51963,196.036859531
1100,10202.6370162,2036497.91831,196.762324684
1105,10261.3413273,2035999.56817,197.487346066
1110,10320.1334763,2035500.47041,198.211056136
1115,10379.0133295,2035000.62618,198.932520294
1120,10437.9804639,2034500.03703,199.650729452
1125,10497.0342496,2033998.70513,200.363812023
1130,10556.1740618,2033496.63316,201.076909547
1135,10615.3994978,2032993.82388,201.79312015
1140,10674.7104739,2032490.27981,202.511604928
1145,10734.1071539,2031986.00301,203.231481907
1150,10793.5897553,2031480.99525,203.951815852
1155,10853.1583366,2030975.25826,204.671608991
1160,10912.8126746,2030468.79406,205.389792282
1165,10972.5522877,2029961.605,206.10521658
1170,11032.3765862,2029453.6937,206.816642783
1175,11092.2850635,2028945.06268,207.522986891
1180,11152.2774272,2028435.71403,208.232533083
1185,11212.3536081,2027925.64931,208.945189539
1190,11272.5136546,2027414.86958,209.659917561
1195,11332.757576,2026903.37579,210.37562378
1200,11393.0852128,2026391.16909,211.091147805
1205,11453.4962015,2025878.25113,211.805251038
1210,11513.9900482,2025364.62411,212.516605774
1215,11574.5662755,2024850.29057,213.223783325
1220,11635.2245664,2024335.25313,213.925397411
1225,11695.9648351,2023819.51412,214.630278074
1230,11756.7871912,2023303.07549,215.338649386
1235,11817.6918171,2022785.93877,216.049292129
1240,11878.6788116,2022268.1053,216.760925943
1245,11939.7480669,2021749.57645,217.472194172
1250,12000.8992312,2021230.35381,218.181650296
1255,12062.1317732,2020710.43923,218.887744577
1260,12123.4451202,2020189.8347,219.588402832
1265,12184.8388095,2019668.54217,220.286147015
1270,12246.3125877,2019146.56333,220.988538882
1275,12307.8664205,2018623.89957,221.694208819
1280,12369.5004131,2018100.55198,222.40173161
1285,12431.2146775,2017576.52152,223.109606577
1290,12493.0092044,2017051.80929,223.816240493
1295,12554.8837914,2016526.41666,224.519931798
1300,12616.8380585,2016000.3454,225.218853888
1305,12678.871546,2015473.59763,225.911999247
1310,12740.9838497,2014946.17566,226.609562617
1315,12803.1747358,2014418.08177,227.311049286
1320,12865.4441828,2013889.31796,228.014868722
1325,12927.792331,2013359.88583,228.719352316
1330,12990.2193617,2012829.78661,229.422732761
1335,13052.7253518,2012299.0212,230.123125494
1340,13115.3101653,2011767.59043,230.818509399
1345,13177.9734261,2011235.49521,231.507966803
1350,13240.7145871,2010702.73673,232.202250781
1355,13303.5330727,2010169.31649,232.900661673
1360,13366.4284352,2009635.23624,233.601425432
1365,13429.4004614,2009100.49782,234.302681405
1370,13492.4491836,2008565.10293,235.002458833
1375,13555.5747924,2008029.05302,235.698655562
1380,13618.7774878,2007492.34921,236.388620849
1385,13682.0573319,2006954.99233,237.075461463
1390,13745.414165,2006416.98319,237.768016802
1395,13808.847622,2005878.32273,238.464380718
1400,13872.3572414,2005339.01228,239.162574721
1405,13935.942619,2004799.05359,239.860517629
1410,13999.6035364,2004258.44876,240.556000127
1415,14063.3400026,2003717.19998,241.246660387
1420,14127.1521886,2003175.30925,241.929978127
1425,14191.0402822,2002632.77814,242.616946846
1430,14255.0043279,2002089.60767,243.308917864
1435,14319.0441252,2001545.79842,244.003774482
1440,14383.1592347,2001001.35073,244.699303954
1445,14447.3490953,2000456.26496,245.393166776
1450,14511.6132048,1999910.54181,246.082869366
1455,14575.9512808,1999364.18242,246.765011039
1460,14640.3633272,1998817.18834,247.447197506
1465,14704.8495744,1998269.56136,248.135280178
1470,14769.4103172,1997721.30327,248.826988685
1475,14834.0457184,1997172.41566,249.519960398
1480,14898.7556603,1996622.89977,250.211704351
1485,14963.5397074,1996072.75649,250.899570406
1490,15028.3972074,1995521.98647,251.580133743
1495,15093.3274989,1994970.59038,252.258696613
1500,15158.3301499,1994418.56906,252.94370788
