time,L_evals,NL_iter,TotalEnergy,dt,nodes,numDOFs,dfdt
219.5046281189,61697,5,842.271224765,0.1429658606,15469,176790,-0.0001343531
221.3028373493,62304,3,837.860304043,0.2217869734,16220,186066,-6.13237971372763E-05
224.2319307024,63064,3,835.8178143929,0.3612676093,17024,195894,-1.74327804190455E-05
229.0031151266,63983,3,834.1497582807,0.5884668676,17239,198498,-8.74026218576593E-06
236.7748717986,65112,3,831.999657895,0.9585505186,16798,193098,-6.91639122414736E-06
249.4342444823,66544,4,828.46892869,1.5613777893,16672,191550,-6.97255956762398E-06
265.5945046012,68581,4,823.5708542003,1.6394466787,16457,189072,-7.57734475439779E-06
281.9889713884,70609,4,817.4110608225,1.6394466787,16220,186336,-9.39309807659739E-06
298.3834381757,72599,4,808.5082943209,1.6394466787,15918,182778,-1.3575870775572E-05
309.5521686745,80375,4,791.9660753251,0.1024654174,14965,171336,-0.000037028
310.6589911798,80905,3,783.0408002822,0.130774723,14944,171048,-0.0002015968
312.3861051133,81495,3,780.7784915668,0.2130182437,15624,179268,-0.000032747
315.1993917194,82204,3,779.1751277938,0.3469842726,16175,185976,-1.42481374763061E-05
319.7819391557,83057,3,777.8695126962,0.5652008171,16592,191034,-7.12275822446211E-06
327.2464260516,84129,3,776.6395442143,0.9206525741,16829,193986,-4.11940063343098E-06
339.405288648,85465,3,775.1898389875,1.4996460311,16445,189306,-2.98075830559275E-06
359.210794599,87114,3,773.0813196334,2.4427653621,16684,192252,-2.66153179742878E-06
390.9214925834,89339,4,769.9125249398,3.6090769821,16564,190884,-2.49820635858978E-06
429.7732062954,92174,4,766.1445896292,3.9790073727,16281,187530,-2.4245618472083E-06
469.5632800227,95235,4,762.1138384884,3.9790073727,16132,185754,-2.53251047512604E-06
500,97549,3,758.547571452,2.5836683682,16047,184704,-2.9292471717229E-06
507.9580147455,98186,4,757.6421565041,3.9790073727,15923,183204,-2.84434930315214E-06
547.7480884728,101204,4,752.1536613691,3.9790073727,15191,174510,-3.44840724139668E-06
587.5381622001,104221,4,744.9399301733,3.9790073727,15081,173148,-4.53236857841334E-06
627.3282359274,107123,4,734.7718868069,3.9790073727,15523,178518,-6.38855524373441E-06
