time,free_energy,elastic_energy,grad_energy,precip_area,a10
405,13.9818814702,3.14260029101,2.95405736752,1305.51053802,20.0631115829
410,13.980104199,3.14362710303,2.95458720387,1305.9473031,20.0646191662
415,13.9783322952,3.144651056,2.95511448845,1306.38280328,20.0661281489
420,13.9765657063,3.14567219803,2.95563925709,1306.81705743,20.0676385947
425,13.9748043821,3.14669057599,2.95616154558,1307.25008384,20.0691505731
430,13.9730482744,3.14770623547,2.95668138962,1307.68190021,20.0706641593
435,13.9712973367,3.14871922092,2.95719882484,1308.11252372,20.0721794333
440,13.9695515245,3.14972957558,2.95771388676,1308.54197106,20.0736964792
445,13.9678107949,3.15073734158,2.95822661078,1308.97025838,20.0752153848
450,13.9660751063,3.15174255993,2.95873703216,1309.3974014,20.0767362411
455,13.9643444187,3.15274527055,2.959245186,1309.82341538,20.0782591415
460,13.9626186936,3.15374551234,2.95975110719,1310.24831515,20.0797841816
465,13.9608978933,3.15474332314,2.96025483038,1310.67211515,20.0813114586
470,13.9591819816,3.15573873981,2.96075638993,1311.09482942,20.0828410708
475,13.9574709232,3.15673179823,2.96125581992,1311.51647161,20.0843731175
480,13.9557646838,3.15772253333,2.96175315406,1311.93705505,20.0859076982
485,13.9540632301,3.15871097912,2.96224842566,1312.35659271,20.0874449128
490,13.9523665297,3.15969716869,2.96274166762,1312.77509723,20.0889848606
495,13.9506745507,3.16068113426,2.96323291238,1313.19258095,20.0905276408
500,13.9489872624,3.16166290721,2.96372219186,1313.60905592,20.0920733516
